station,lon,lat,dif_prct,z50_tg,z50_gos
Naha,127.667,26.217,22.0764644590476,0.825321838248932,0.643119955955148
Nain,-61.7,56.55,-32.2044365049175,0.883461197122841,1.16797489739585
Nawiliwili,-159.35,21.967,32.5828073146575,0.243400253252873,0.164093617732101
Naze,129.498,28.378,20.396967147284,0.7267344330084,0.578502649459676
Neah Bay,-124.617,48.368,33.2887101547402,1.24769431560084,0.832352971263308
Newlyn,-5.53333,50.099998,21.2649875418785,1.22493365343544,0.964451664636115
Newport,-71.327,41.505,7.72157476108001,1.40928784305162,1.30046862865158
Nice,7.285257,43.695508,2.61796114624325,0.473789733141311,0.461386102012782
Nishinoomote,130.995,30.732,5.68978609519195,0.619361339404713,0.58412100403627
Nome,-165.43,64.5,24.5239384162565,2.7485523486903,2.07449906335892
North Shields,-1.4333301,55,12.3276534889101,1.83281905650694,1.60687547414206
Noumea,166.437,-22.25,35.1916148990381,0.407198520733766,0.263898785442559
Nuku alofa,-175.167,-21.133,58.2607440462942,0.475217136407119,0.198352096900838
Nylesund,11.933,78.933,3.26836461414328,0.713737232129969,0.690409696997068
Ofunato,141.717,39.067,10.9566598799609,0.605771054718954,0.539398780602147
Padang,100.367,-1,73.7639794594326,0.427747016183836,0.112223795027656
Papeete,-149.567,-17.525,59.4239042163215,0.301686628729159,0.122412655439694
Pensacola,-87.213,30.403,29.4628885993904,1.59145683179301,1.12256767833445
Ponta Delgada,-25.673,37.735,0.204324914976013,0.461903577706057,0.460959793613637
Port Bloc,-1.061555,45.56848,21.5780028327367,1.33055744140493,1.04344971900738
Port Elizabeth,25.63,-33.96,38.8750596833143,0.709785623619105,0.433856038813594
Port Hedland,118.567,-20.317,16.1305286301032,1.22344172241637,1.02609410510937
Port Louis,57.495,-20.155,45.1083361987815,0.428888190852568,0.23542386380592
Port Stanley,-57.933,-51.75,13.5649473881894,0.585473951850583,0.506054718310498
Port Vila,168.3,-17.767,34.3527197374071,0.37222558081249,0.24435597024504
Port aux basques,-59.133,47.567,15.969442676916,1.055687057271,0.887099717812485
Portland,141.613,-38.343,20.743873985414,0.689974380000931,0.546846964081897
Prigi,111.733,-8.283,84.5881947116708,0.717015342307368,0.110505008443859
Prince Rupert,-130.333,54.317,-3.15044485114876,1.05773744478679,1.09106087965475
Prudhoe Bay,-148.527,70.4,39.5462566414801,1.37911355054988,0.833725766471999
Qaqortoq,-46.033,60.717,14.7966197305582,0.958342307311547,0.8165400403816
Ravenna,12.28293611,44.492075,29.0398767573935,1.40948304692942,1.00017090718476
Reunion,55.293,-20.923,40.6600146434976,0.39149562471252,0.232313446375757
Reykjavik,-21.93989,64.150581,27.6670190477534,1.10903064373635,0.80219492428839
Richards Bay,32.083,-28.8,51.3324110596167,0.610845980980789,0.297284011082582
Rorvik,11.25,64.867,-7.91455424859085,1.25747257915185,1.35699592858998
Sabang,95.333,5.833,80.1613786201706,0.504312052564237,0.100048558681065
Saipan,145.742,15.277,39.6375126157038,0.499983750090306,0.301802628071792
Salalah,54.007,16.935,36.661349570024,0.331562258109844,0.210007059621929
Saldahna Bay,17.95,-33.017,41.2324564205782,0.575711704457758,0.338331626809045
Salvador,-38.517,-12.967,58.0648322902156,0.275182851158642,0.115398390141943
San Antonio,-71.6180555555555,-33.5816666666667,47.1475272219818,0.385314579905554,0.203648283454318
San Diego,-117.173,32.715,41.7791984283129,0.403235694220028,0.234767053398057
San Francisco,-122.465,37.807,49.4725679525473,0.776678712470343,0.392435808670483
San Juan PR,-66.117,18.46,40.3184435466754,0.303966740868561,0.181412082050801
Sand Point,-160.502,55.337,2.82947925596081,1.04731025807879,1.0176768315809
Santa Cruz,-90.312,-0.753,59.7366477227512,0.253255103839878,0.101968994619162
Santander,-3.79,43.46,16.1101025825805,0.636422064864613,0.533893817356746
Seward,-149.427,60.12,17.1959135493142,1.07212896368609,0.887766593953472
Simons Town,18.433,-34.183,21.8225128909563,0.555358036457468,0.434164957360575
Sitka,-135.342,57.052,0.407133393996446,0.91471828429439,0.910994160698036
Smogen,11.215,58.35,15.297209214659,1.4681993582933,1.24360583076689
South Beach,-124.043,44.625,42.8679736614998,1.26304229434457,0.72160165627134
Spring Bay,147.933,-42.55,-0.444894728692049,0.530521126096961,0.532881386621564
