lon,lat,time,Ampl
74.75,12.6460552215576,6,0.051089186080255
74.75,12.8898735046387,7,0.0631241645103629
74.75,13.1334543228149,6,0.0702279939909785
75,-69.6788024902344,8,0.288518838072916
75,-69.5918045043945,8,0.288059993962385
75,12.1577243804932,6,0.0425939845169988
75,12.4020042419434,5,0.0332428644550389
75.25,-69.5044479370117,8,0.286790586149766
75.25,11.9132204055786,6,0.0432517163882485
75.5,-69.5044479370117,8,0.294619085223294
75.5,11.4235544204712,5,0.0457278176357427
75.5,11.6684951782227,6,0.0458738648860265
75.75,-69.5044479370117,8,0.299027091498003
75.75,-69.4167327880859,8,0.294543029283297
75.75,10.687479019165,6,0.0302106957583823
75.75,10.9330415725708,5,0.0269012777918668
75.75,11.1784019470215,5,0.0301699395049203
76,-69.3286666870117,8,0.289675346649703
76,9.94961357116699,5,0.0201952055648888
76,10.1957597732544,5,0.0222884801010499
76,10.4417161941528,5,0.0322228267400396
76.25,-69.3286666870117,8,0.291766347051959
76.25,9.21007823944092,5,0.0168240909898512
76.25,9.45676803588867,5,0.0157090742566005
76.25,9.70328140258789,5,0.0105072246306099
76.5,-69.3286666870117,8,0.296137200112744
76.5,8.71618556976318,5,0.0162329538882447
76.5,8.96321582794189,4,0.0178719381407421
76.75,-69.240234375,8,0.294189617463861
76.75,8.46899127960205,4,0.00919329888919035
77,-69.1514358520508,8,0.29131567437732
77,8.22163867950439,11,0.0146226007401862
77.25,-69.1514358520508,8,0.292389930899879
77.25,7.97413206100464,10,0.011026741466603
77.5,-69.1514358520508,8,0.29752289412904
77.5,7.97413206100464,4,0.0142890835786691
77.75,-69.0622787475586,8,0.297918455827762
77.75,-68.9727630615234,8,0.270963183183902
77.75,-68.8828735351562,8,0.293142333966587
77.75,-68.7926254272461,8,0.297128756532075
77.75,-68.7020034790039,8,0.297584018113514
77.75,-68.6110153198242,8,0.295013287357293
77.75,-68.5196533203125,8,0.289905976708953
77.75,7.97413206100464,5,0.0232908749130299
78,-68.4279251098633,8,0.297559186071713
78,8.22163867950439,6,0.0321172579781861
78.25,-68.3358154296875,8,0.2983169813901
78.25,8.46899127960205,6,0.0517728023481634
78.25,8.71618556976318,6,0.0510727716301445
78.5,-68.3358154296875,8,0.319649864054272
78.5,8.96321582794189,6,0.0550397360568437
78.75,-68.2433395385742,8,0.310847106896263
78.75,-68.1504821777344,8,0.307496776979424
78.75,8.96321582794189,7,0.064366786752897
79,-68.0572509765625,8,0.301804345348657
79,9.21007823944092,7,0.0677477265238259
79,9.45676803588867,8,0.0545802580787664
79.25,-68.0572509765625,8,0.30029695315735
79.25,9.70328140258789,9,0.0504276334360022
79.25,9.94961357116699,5,0.0460742821225202
