station,lon,lat,mu_ann_tg,mu_ann_gos,mu_semi_tg,mu_semi_gos,psi_ann_tg,psi_ann_gos,psi_semi_tg,psi_semi_gos
Honningsvag,25.983,70.983,0.190501885882626,0.157050963629058,NaN,NaN,0.0437868091799916,0.0410046568180371,NaN,NaN
Honolulu Hawaii,-157.867,21.307,0.0169943337145562,0.0115686746755625,0.021469677981232,0.0051269006052585,NaN,0.00537752684426587,NaN,NaN
Huelva,-6.83,37.13,0.0239453976357984,0.0209220375259008,0.0232765689924117,0.0153912751415242,0.044502404485241,0.0377920784134361,NaN,NaN
Ilha Fiscal,-43.165,-22.897,0.0442057252883753,0.0147296551848983,0.0329460476041254,0.00929686744797945,0.0160882613243383,NaN,NaN,NaN
Imbituba,-48.6502777777778,-28.2311111111111,0.0946849686573645,0.0186186679731338,0.0290635439242584,0.0150069330408082,NaN,0.00628544576879795,NaN,NaN
Imperia,8.01886389,43.87833889,0.0400614971594485,0.0418962187748083,NaN,NaN,0.0247694270880253,0.0302885077521261,NaN,NaN
Iquique,-70.1477777777778,-20.2044444444444,0.0140367293101848,0.0100622310663292,0.0145602270229451,0.0049397650885948,0.010235998786733,NaN,NaN,NaN
Ishigake,124.15,24.333,0.152045875942615,0.08895523116193,0.0625571113765541,0.0183867522551564,0.0424456091605539,0.0163453589871407,NaN,NaN
Isla Pascua,-109.439444444444,-27.1547222222222,0.0703272105329829,0.0121988973194547,NaN,0.0031614321131095,0.0257876757492896,NaN,NaN,NaN
Juan Fernandez,-78.833,-33.622,0.0335551626377179,0.0207503550882051,0.0155313761379248,0.00717373504769308,0.00964261746218318,0.0117974152083751,NaN,NaN
Kabelvag,14.482149,68.212639,0.263490431878004,0.204713355269427,NaN,NaN,0.0717474991962019,0.0684473780177597,NaN,NaN
Kahului,-156.467,20.9,0.0181303140427986,0.0124452689394565,0.0194843507536818,0.00499404050729467,0.00408561254555544,0.00455389361910223,NaN,NaN
Kaohsiung,120.282,22.615,0.0979725954443527,0.0780610682325453,0.0421393462347104,0.0172557130918806,0.0153203276552723,0.0147608327529344,NaN,NaN
Kawaihae,-155.833,20.033,0.0158777971510566,0.0104115327873517,0.0204356499914488,0.00537137948631448,NaN,0.00387576240666272,NaN,NaN
Keelung,121.745,25.157,0.113331355741269,0.0916205112684643,0.0456741278823362,0.0160142450949928,0.0473054117734166,0.0148054554603227,NaN,NaN
