station,lon,lat,Period,Amplit.
Point_139,144.156234741211,45.2600898742676,11.9999084479641,0.783115873192811
Point_140,142.163040161133,55.2671546936035,11.9999084479641,0.923256912907391
Point_141,118.618576049805,74.9746627807617,991.092627599244,0.354565885687021
Point_142,105.730926513672,77.5919189453125,1076.56673511294,0.311351628263121
Point_143,88.6689071655273,79.1897125244141,1170.28571428571,0.367414314857843
Point_144,152.75,-67.4875106811523,11.9999084479641,1.36657409500127
Point_145,152.75,-64.2225189208984,11.9999084479641,1.11052254967786
Point_146,152.75,-60.5178337097168,11.9999084479641,0.954678691308822
Point_147,152.75,-56.3349456787109,11.9999084479641,0.85416150345915
Point_148,152.75,-51.6374168395996,11.9999084479641,0.776154925547441
Point_149,152.75,-46.3974609375,11.9999084479641,0.667720201300262
Point_150,152.75,-40.6013488769531,11.9999084479641,0.637135403473706
Point_151,152.75,-34.255500793457,11.9999084479641,0.731714655255642
Point_152,152.75,-20.0761108398438,11.9999084479641,1.41114566576276
Point_153,152.75,-12.4020042419434,11.9999084479641,1.55920960295275
Point_154,152.75,3.49782538414001,11.9999084479641,0.208322349018905
Point_155,152.75,11.4235544204712,11.9999084479641,0.181521536521574
Point_156,152.75,19.1340980529785,11.9999084479641,0.150252071075543
Point_157,152.748550415039,26.496618270874,11.9999084479641,0.186283593462705
Point_158,152.720321655273,33.3909149169922,11.9999084479641,0.298242113756049
Point_159,152.597061157227,39.7602958679199,11.9999084479641,0.451413398322855
Point_160,152.28840637207,45.6201820373535,11.9999084479641,0.623572099570346
Point_161,151.699768066406,51.0283241271973,11.9999084479641,0.697495651951073
Point_162,150.730895996094,56.0562782287598,11.9999084479641,1.07578411350224
Point_163,138.915878295898,73.5344314575195,989.222641509434,0.647707046775488
Point_164,131.038757324219,77.2639846801758,688.946123521682,0.396046544109787
Point_165,117.845031738281,80.4452819824219,1170.28571428571,0.342979040437312
Point_166,96.2917175292969,82.5966033935547,279.173588924388,0.334788811166941
Point_167,160.75,-67.4875183105469,11.9999084479641,1.23894932573409
Point_168,160.75,-64.2225189208984,11.9999084479641,1.0724139662634
Point_169,160.75,-60.5178337097168,11.9999084479641,0.986162669290709
Point_170,160.75,-56.3349456787109,11.9999084479641,0.986220712177835
Point_171,160.75,-51.6374168395996,11.9999084479641,1.03421554634453
Point_172,160.75,-46.3974609375,11.9999084479641,1.0275485889433
Point_173,160.75,-40.6013488769531,11.9999084479641,0.976504741025669
Point_174,160.75,-34.255500793457,11.9999084479641,0.935620817472793
Point_175,160.75,-27.392578125,11.9999084479641,0.924586856655531
Point_176,160.75,-20.0761108398438,11.9999084479641,0.72084491839004
Point_177,160.75,-12.4020042419434,11.9999084479641,0.25921776827941
Point_178,160.75,-4.49538087844849,11.9999084479641,0.428035421548555
Point_179,160.75,3.49782538414001,11.9999084479641,0.525917225807526
Point_180,160.75,11.4235544204712,11.9999084479641,0.444727984584954
Point_181,160.75,19.1340980529785,11.9999084479641,0.392169856436985
Point_182,160.749069213867,26.501537322998,11.9999084479641,0.35939717644721
Point_183,160.730865478516,33.4335708618164,11.9999084479641,0.37416068032037
Point_184,160.651306152344,39.8879890441895,11.9999084479641,0.439570382918545
Point_185,160.452560424805,45.8699798583984,11.9999084479641,0.584730087382906
Point_186,160.076614379883,51.4180679321289,11.9999084479641,0.817569035563297
Point_187,158.551696777344,61.451171875,11.9999084479641,0.90366284118143
Point_188,152.317687988281,74.7671279907227,591.747178329571,0.495506259233887
Point_189,147.375106811523,78.848030090332,763.155749636099,0.324447473412937
Point_190,137.837860107422,82.6139144897461,710.417344173442,0.307044740646654
Point_191,114.992858886719,85.6664505004883,711.381275440977,0.282168874566952
Point_192,168.432830810547,-74.8712005615234,11.9999084479641,2.05587401318737
Point_193,168.743377685547,-70.3320007324219,11.9999084479641,1.29147970393764
Point_194,168.75,-67.4875335693359,11.9999084479641,1.07911680056712
Point_195,168.75,-64.2225189208984,11.9999084479641,0.957175205901407
Point_196,168.75,-60.5178337097168,11.9999084479641,0.920137007132723
Point_197,168.75,-56.3349456787109,11.9999084479641,1.01901359601166
Point_198,168.75,-51.6374168395996,11.9999084479641,1.25292546314266
Point_199,168.75,-40.6013488769531,11.9999084479641,1.58087976547984
Point_200,168.75,-34.255500793457,11.9999084479641,1.3423530046888
Point_201,168.75,-27.392578125,11.9999084479641,1.17887207626109
Point_202,168.75,-20.0761108398438,11.9999084479641,1.02117956342595
