lon,lat,phi0
98,4.74456834793091,-0.16269079
98,4.99366569519043,-0.14637108
98,8.46899127960205,-0.1589445
98,8.71618556976318,-0.1372774
98,13.8627319335938,-0.04657756
98,14.1053228378296,-0.04861894
98.25,-64.6539916992188,-0.04346996
98.25,-0.249999210238457,-0.15684615
98.25,1.99959397315979,-0.13783081
98.25,4.49538087844849,-0.15986838
98.25,8.22163867950439,-0.18381997
98.25,8.96321582794189,-0.168063
98.25,9.21007823944092,-0.16881973
98.25,9.45676803588867,-0.15125833
98.25,10.1957597732544,-0.09920646
98.25,10.4417161941528,-0.07592116
98.25,10.687479019165,-0.0869077
98.25,11.6684951782227,-0.08553792
98.25,13.3767938613892,-0.02694278
98.25,13.6198883056641,-0.04389858
98.5,-64.6539916992188,-0.05321221
98.5,-1.24990081787109,-0.15770323
98.5,-0.999949216842651,-0.15723758
98.5,-0.499993652105331,-0.15125295
98.5,0,-0.16703836
98.5,1.74972796440125,-0.14779698
98.5,3.99675464630127,-0.19154458
98.5,4.24610805511475,-0.20473054
98.5,7.97413206100464,-0.15133543
98.5,9.70328140258789,-0.17414221
98.5,9.94961357116699,-0.14462355
98.5,10.9330415725708,-0.12732031
98.5,11.1784019470215,-0.12547459
98.5,11.4235544204712,-0.09918147
98.5,11.9132204055786,-0.03034287
98.5,12.1577243804932,-0.06419713
98.5,12.4020042419434,-0.06205389
98.5,12.6460552215576,-0.06549201
98.5,12.8898735046387,-0.06271767
98.5,13.1334543228149,-0.0400767
98.75,-64.9731597900391,-0.05961932
98.75,-64.8671951293945,-0.05287365
98.75,-64.7608032226562,-0.05086667
98.75,-1.74972796440125,-0.15510485
98.75,-1.49982869625092,-0.1567883
98.75,-0.749978601932526,-0.15506531
98.75,-0.249999210238457,-0.16592048
98.75,0.999949216842651,-0.14869463
98.75,1.24990081787109,-0.13898384
98.75,1.49982869625092,-0.12162073
98.75,3.99675464630127,-0.23154922
98.75,7.97413206100464,-0.17747665
99,-65.3928756713867,-0.06596482
99,-65.2885665893555,-0.06745998
99,-65.1838531494141,-0.06839163
99,-65.0787124633789,-0.06087511
99,-1.99959397315979,-0.14754916
99,-0.999949216842651,-0.15108874
99,0.249999210238457,-0.12885103
99,0.499993652105331,-0.05304484
99,0.749978601932526,-0.04973594
99,3.74732565879822,-0.23113893
99,7.72647523880005,-0.16689964
99.25,-65.6002502441406,-0.07448661
99.25,-65.4967651367188,-0.07675182
99.25,-1.99959397315979,-0.15024769
99.25,-1.49982869625092,-0.14155707
99.25,-1.24990081787109,-0.14707353
99.25,0,-0.06864303
99.25,3.49782538414001,-0.18392485
99.25,7.47867298126221,-0.14358973
99.25,9.45676803588867,0.01898407
99.25,9.70328140258789,-0.06217769
99.25,9.94961357116699,-0.08007831
99.25,10.1957597732544,-0.09700477
99.5,-65.6002502441406,-0.089305
99.5,-2.24942183494568,-0.15182912
99.5,-1.74972796440125,-0.136477
99.5,0,-0.06450733
99.5,3.49782538414001,-0.16307079
99.5,6.98265075683594,-0.08981603
99.5,7.2307300567627,-0.09207764
99.5,9.45676803588867,-0.05357348
99.5,10.4417161941528,-0.10094396
99.5,10.687479019165,-0.09773321
99.75,-65.6002502441406,-0.09835658
99.75,-2.49920701980591,-0.15068975
99.75,-1.99959397315979,-0.13266031
99.75,-0.249999210238457,-0.09921472
99.75,3.24825859069824,-0.11607235
99.75,6.73443984985352,-0.06807228
99.75,9.45676803588867,-0.0605376
99.75,10.9330415725708,-0.10538597
99.75,11.1784019470215,-0.10831149
99.75,11.4235544204712,-0.09196219
99.75,11.6684951782227,-0.0776442
100,-65.6002502441406,-0.10640232
100,-2.99863004684448,-0.14621987
100,-2.7489447593689,-0.14998933
100,-2.24942183494568,-0.13515842
100,-0.749978601932526,-0.13734998
100,-0.499993652105331,-0.13527667
100,2.99863004684448,-0.13919487
100,6.23764181137085,-0.1282545
100,6.48610210418701,-0.14370444
100,8.71618556976318,-0.03714358
100,8.96321582794189,-0.04768076
100,9.21007823944092,-0.06062694
100,11.9132204055786,-0.05754121
100,12.1577243804932,-0.03279836
100,12.4020042419434,-0.00916024
100,12.6460552215576,0.00251163
100.25,-65.4967651367188,-0.11106578
100.25,-3.24825859069824,-0.14465142
100.25,-2.49920701980591,-0.13426393
100.25,-1.24990081787109,-0.13976547
100.25,-0.999949216842651,-0.13409824
100.25,2.7489447593689,-0.07101828
100.25,4.99366569519043,-0.19065893
100.25,5.24266910552979,-0.199629
100.25,5.49157285690308,-0.18627048
100.25,5.74037265777588,-0.2035174
100.25,5.98906373977661,-0.1580792
100.25,8.46899127960205,-0.04678817
100.25,12.8898735046387,0.00932243
100.25,13.1334543228149,0.00639103
100.25,13.3767938613892,0.00628022
100.5,-65.3928756713867,-0.11638436
100.5,-3.49782538414001,-0.14229697
100.5,-2.99863004684448,-0.12746763
100.5,-2.7489447593689,-0.13251785
100.5,-1.74972796440125,-0.1348775
100.5,-1.49982869625092,-0.13264912
100.5,2.24942183494568,-0.00179328
100.5,2.49920701980591,-0.02919439
100.5,4.24610805511475,-0.16079063
100.5,4.49538087844849,-0.13131657
100.5,4.74456834793091,-0.13067681
100.5,7.2307300567627,-0.05523083
100.5,7.47867298126221,-0.06448939
100.5,7.72647523880005,-0.0694446
100.5,7.97413206100464,-0.07477208
100.5,8.22163867950439,-0.07023009
100.5,13.3767938613892,-0.00141634
100.75,-65.3928756713867,-0.12903229
100.75,-3.24825859069824,-0.12834471
100.75,-2.24942183494568,-0.13715584
100.75,-1.99959397315979,-0.13117156
100.75,2.24942183494568,-0.00353858
100.75,3.74732565879822,-0.10581696
100.75,3.99675464630127,-0.1691185
100.75,7.2307300567627,-0.07088926
100.75,12.6460552215576,-0.0026538
100.75,12.8898735046387,-0.00364476
100.75,13.1334543228149,-0.00457903
100.75,13.3767938613892,-0.00594761
101,-65.3928756713867,-0.129588
101,-2.49920701980591,-0.13337328
101,2.24942183494568,0.005814
101,3.49782538414001,-0.0453493
101,6.98265075683594,-0.08175923
101,12.4020042419434,-0.03011134
101.25,-65.3928756713867,-0.12434579
101.25,-2.99863004684448,-0.13819266
101.25,-2.7489447593689,-0.13762598
101.25,2.24942183494568,0.00351562
101.25,2.7489447593689,-0.05945421
101.25,2.99863004684448,-0.08308605
101.25,3.24825859069824,-0.07643821
101.25,6.98265075683594,-0.08815588
101.25,12.4020042419434,-0.02805497
101.5,-65.4967651367188,-0.1290479
101.5,-3.24825859069824,-0.14078079
101.5,2.24942183494568,0.03708668
101.5,2.49920701980591,0.02017776
101.5,6.98265075683594,-0.14960285
101.5,12.4020042419434,-0.0521085
101.75,-65.6002502441406,-0.13301067
