station,lon,lat,Dif_Pearson,Dif_RMSE,NBias_Unfiltered
La Libertad,-80.917,-2.2,-0.132942100908371,3.24373697526281,-0.97963624967859
La Palma,-17.77,28.68,-0.114576113493976,0.958144347440638,-0.101091663068801
La Rochelle,-1.22064996,46.15850067,-0.137567281136335,3.78146259083981,-0.578678930171248
Lamu,40.903,-2.272,-0.0379923293764874,3.1517084276595,22.6098842862966
Langkawi,99.765,6.432,-0.210383174048917,5.17968736743879,-1.88845458916655
Lanzarote Arrecife,-13.53,28.97,-0.191715019144573,2.03905572364456,-0.904851763653008
Las Palmas,-15.41,28.14,-0.163686794691585,1.49907781343571,-0.713199344048742
Lautoka,177.433,-17.6,-0.151261582129574,2.13214664055922,-1.3854070213164
Legaspi,123.75,13.15,-0.118505855119626,0.743227939116249,-1.20698063006334
Lerwick,-1.13799999999992,60.153,-0.0211969946028735,0.655200146481699,-0.283904131823472
Livorno,10.29933889,43.54628611,0,1.77635683940025e-15,-0.104670249636371
Lombrum,147.367,-2.033,-0.0324006649078574,0.275127949409804,-1.50821580958718
Maisaka,137.617,34.683,-0.0236458185684436,0.217961043177764,-2.24858718612732
Majuro,171.373,7.107,-0.0376726736764623,0.497697199857146,-1.12193100572832
Malaga,-4.42,36.71,-0.00659790674406946,0.0721187051148027,0.342705183485132
Malakal,134.463,7.33,-0.112637126766915,0.502038536630737,0.137766148066764
Maloy,5.117,61.933,-0.00903812089268341,0.374643449125728,0.0535928099183129
Manila,120.967,14.583,-0.0194825354786954,0.0791769571626091,-0.912276797783986
Manzanillo,-104.333,19.05,-0.0844760226688923,0.304228596682725,-1.03486446416125
Marseille,5.35,43.3,0,0,-0.681240792572692
Masirah,58.872,20.687,0.000675991079835514,0.856444373417483,-0.747142395417049
Mawson,62.867,-67.6,-0.0166591240995855,0.416051970049225,1.03091920235466
Melilla,-2.93,35.29,-0.00405850765331028,0.046657436180169,-0.17638049271476
Mera,139.833,34.917,-0.0129748690840208,0.148636100867614,-1.7552538460419
Mokuoloe,-157.8,21.433,-0.0205485327829846,0.0823929938319417,1.08488686660645
Mombasa,39.657,-4.07,-0.12860875661241,3.98261922108881,-1.26852541297736
Monaco,7.421497,43.728847,0,0,0.491118255328232
Mossel Bay,22.333,-34.067,-0.0201220028244582,0.538871519324434,1.10355627396758
Nagasaki,129.867,32.733,-0.132205608153535,1.89479132331854,-0.667107977149716
Naha,127.667,26.217,-0.0554124571193649,0.564114731783809,-1.09137992313606
Nain,-61.7,56.55,-0.0300171577056185,0.962274343080434,0.869223210081
Nawiliwili,-159.35,21.967,-0.0131053465649333,0.0476726410051516,0.276263426093166
Naze,129.498,28.378,-0.0520055083407334,0.377772812259764,-1.14084094744196
Neah Bay,-124.617,48.368,-0.0664952158300831,1.04955478276212,-0.67021660419263
Newlyn,-5.53333,50.099998,-0.301130630290311,10.6470176779192,-1.01332587811278
Newport,-71.327,41.505,-0.0517203610374031,1.51184420219376,-1.38308104862717
Nice,7.285257,43.695508,0,0,0.802815689307515
Nishinoomote,130.995,30.732,-0.060046706158023,0.645252541549596,-0.801680527820537
Nome,-165.43,64.5,-0.00798147927631587,0.646890980163692,-0.828645119690056
North Shields,-1.4333301,55,-0.13390885419988,5.08368073949549,-0.416995846543238
Noumea,166.437,-22.25,-0.0870354038120912,0.4637351779805,0.856885820970293
Nuku alofa,-175.167,-21.133,-0.188367256137197,1.93735513554268,-0.589789543180322
Nylesund,11.933,78.933,-0.0146201826600438,0.353075909378056,0.254619490989074
Ofunato,141.717,39.067,-0.0187375377425191,0.244714455213677,-0.632792957925052
Padang,100.367,-1,0.0105833759553647,0.149758242482005,-1.08873126431327
Papeete,-149.567,-17.525,0.000653691753321126,0.00893472081105617,-0.634048115065018
Pensacola,-87.213,30.403,-0.00314491844296771,0.0510297178221863,-0.473806485307023
Ponta Delgada,-25.673,37.735,-0.038230179078506,0.465757709999141,0.39525581178867
Port Bloc,-1.061555,45.56848,-0.13654997918988,3.15995065327063,-0.551855131750367
Port Elizabeth,25.63,-33.96,-0.0238146089045704,0.359868849814953,-0.732335743977332
Port Hedland,118.567,-20.317,-0.192587818530389,9.36044851998756,0.418751524737259
Port Louis,57.495,-20.155,-0.00737413659342279,0.0259975554037224,-2.69898414875812
Port Stanley,-57.933,-51.75,-0.0612039550780767,1.4389252331272,-0.95625537596347
Port Vila,168.3,-17.767,-0.121009126826841,0.658721244328909,-1.49144893807616
Port aux basques,-59.133,47.567,-0.0542244688257989,1.13590390005716,-0.365890065649558
Portland,141.613,-38.343,-0.00862934900074008,0.178190970155102,-0.0452448951354596
Prigi,111.733,-8.283,-0.17466080694613,0.630183584120827,-0.960105394335772
Prince Rupert,-130.333,54.317,-0.194700160629309,8.384999691414,-0.791186830851577
Prudhoe Bay,-148.527,70.4,0,0,-1.4016544466296
Qaqortoq,-46.033,60.717,-0.027248418531325,0.904488001930449,-0.231399896049942
Ravenna,12.28293611,44.492075,-0.00171270866568995,0.0423781072158622,-0.12356799909398
Reunion,55.293,-20.923,-0.00524853791795798,0.0175159924400585,-0.679810104309152
Reykjavik,-21.93989,64.150581,-0.0591483333205266,1.70930011309129,-0.20129956461526
Richards Bay,32.083,-28.8,-0.0376341832126875,0.510761659570818,-3.1368796140502
Rorvik,11.25,64.867,-0.016965574472712,0.672471846415537,-0.0751247993166671
Sabang,95.333,5.833,-0.0673310478829173,0.365461188461637,-0.853575409886204
Saipan,145.742,15.277,-0.0196487570919502,0.0551671450772186,-6.00520655309315
Salalah,54.007,16.935,0.0543820879613663,0.101709749985018,-1.46966704573579
Saldahna Bay,17.95,-33.017,-0.0464127229761586,0.624208407287457,0.0369560442614364
Salvador,-38.517,-12.967,-0.0134376354319662,0.485420148842585,-1.17641929696511
San Antonio,-71.6180555555555,-33.5816666666667,-0.162974546727861,1.87179837577399,41.5971953079996
San Diego,-117.173,32.715,-0.129974921846939,1.36043467832816,3.58319978173259
San Francisco,-122.465,37.807,-0.104305256543499,1.27526906582851,-2.38222660846194
San Juan PR,-66.117,18.46,-0.0412022927394189,0.164396001813203,-3.1521895149204
Sand Point,-160.502,55.337,-0.0494741838945615,2.03205919547757,-0.231083464859589
Santa Cruz,-90.312,-0.753,-0.172569633035503,2.32778511189827,-1.0407424768875
Santander,-3.79,43.46,-0.161139788790901,2.99609400060157,-0.743883266521238
Seward,-149.427,60.12,-0.114972130503569,4.10257447527609,-0.458066763951995
Simons Town,18.433,-34.183,-0.0342684844580439,0.56771525117241,-0.78872132599781
Sitka,-135.342,57.052,-0.104246214665245,3.79730484637806,-0.364287113508914
Smogen,11.215,58.35,-0.0541748760619916,1.9322827755614,-0.253897161149032
South Beach,-124.043,44.625,-0.126291716772946,1.93655771315316,-0.765195258907501
Spring Bay,147.933,-42.55,-0.00492965529352785,0.118997116273908,0.202754487869647
St Johns,-52.717,47.567,-0.0278208484886602,0.791948257382728,-0.106270593335327
St Marys,-6.317139,49.917833,-0.288863633004274,9.41230210444297,-1.10844787632642
Stockholm,18.083,59.317,0,0,0.251622759492306
Stornoway,-6.388889,58.207722,-0.0538279452523939,2.23050178576404,-0.126665191631914
Subic Bay,120.252,14.765,-0.0288228017762713,0.0908420927423306,-1.15417237370392
Suva,178.427,-18.132,-0.223212865001681,2.18453167058566,-2.49551387257764
Syowa,39.6,-69,-0.00189190399855199,0.0501400660701963,0.607785258057703
Talcahuano,-73.1061111111111,-36.7008333333333,-0.150270310745122,1.47862364293512,-0.927108170498555
Tanjong Pagar,103.853,1.262,-0.0136000480899077,0.186219186888614,-0.507074962089001
Tarawa,172.93,1.362,-0.0339052626826401,0.789317824727955,-1.4125786930889
Tenerife,-16.24,28.48,-0.130923943796324,1.06436890718394,-0.828977255081627
Thevenard,133.64,-32.15,-0.0152423480768007,1.04189360789086,0.746142721054892
Thule,-68,76,-0.0163885284353857,0.401883932003933,-0.2580169160828
Tofino,-125.917,49.15,-0.126047105956108,2.7257920334297,-0.685399769480349
Townsville,146.833,-19.25,-0.247872342974184,6.66386810564431,-1.80042064512666
Toyama,137.217,36.767,-0.00104108136314485,0.0122773398786009,-1.66364954360061
Tregde,7.567,58,-0.0458243829165836,1.29315798319951,-0.211346550289193
Trieste,13.75793889,45.64939167,-0.00488051500224274,0.142164496456596,0.732775905717492
Valencia,-0.31,39.44,0,0,-1.20538388466817
Valparaiso,-71.6277777777778,-33.0277777777778,-0.152288842002484,1.85338303797113,2.5638723511089
Vardo,31.1,70.333,-0.0285828252364038,0.85510369658557,-0.105139841803694
Venezia,12.42652778,45.41821944,-0.00410880467020214,0.120032234035985,0.312628050307843
Vigo,-8.73,42.24,-0.116802717302768,1.99706055189599,-0.648264563592038
Viker,10.949769,59.036046,-0.0549336105622401,1.96586088630871,-0.180475892617192
Villagarcia,-8.77,42.6,-0.112286760968967,1.93459850501459,-0.645317522752438
Virginia Key,-80.162,25.732,-0.079301776438562,0.584280915217113,-0.80857540003996
Vung Tau,107.072,10.34,-0.041052121907499,0.663806569230532,-3.69808155598759
Wakkanai,141.683,45.4,0,0,-0.316426819042792
Wellington,174.783,-41.283,-0.0530860519877323,1.10097835907389,-0.0386327448252418
Whitby,-0.614694,54.49,-0.144178704267879,5.85877712234256,-0.536181897483611
Wick,-3.086389,58.440972,-0.0626412440380955,2.67268215553429,-0.122422924248241
Yakutat,-139.735,59.547,-0.115277973669721,3.62424344335711,-0.468566135285542
Zanzibar,39.19,-6.155,-0.0884471924838183,9.44681269142469,2.81888848467873
