lon,lat,Period,Amplit.
97.75,5.24266910552979,11.99991,0.717658646549157
97.75,14.3476552963257,11.99991,1.42756730570738
97.75,14.5897264480591,11.99991,1.42534419351429
97.75,14.8315315246582,11.99991,1.44007021955508
97.75,15.0730667114258,11.99991,1.48079614403989
98,-64.6539916992188,11.99991,0.522459244161872
98,0.749978601932526,11.99991,0.186392321534966
98,0.999949216842651,11.99991,0.18963304466489
98,1.99959397315979,11.99991,0.189239361393239
98,4.74456834793091,11.99991,1.16970150629467
98,4.99366569519043,11.99991,1.01635806134959
98,8.46899127960205,11.99991,0.565256246680518
98,8.71618556976318,11.99991,0.595618016918193
98,13.8627319335938,11.99991,1.54630579103693
98,14.1053228378296,11.99991,1.55981868915196
98.25,-64.6539916992188,11.99991,0.522072340996543
98.25,-0.249999210238457,11.99991,0.186987405679928
98.25,1.99959397315979,11.99991,0.194026777719977
98.25,4.49538087844849,11.99991,1.3940540982068
98.25,8.22163867950439,11.99991,0.581821482457906
98.25,8.96321582794189,11.99991,0.796154956324064
98.25,9.21007823944092,11.99991,0.832835164868034
98.25,9.45676803588867,11.99991,0.887464510001208
98.25,10.1957597732544,11.99991,1.03569338311873
98.25,10.4417161941528,11.99991,1.18689079638255
98.25,10.687479019165,11.99991,1.33968373925086
98.25,11.6684951782227,11.99991,1.60153907824101
98.25,13.3767938613892,11.99991,1.66441676645269
98.25,13.6198883056641,11.99991,1.66355626214286
98.5,-64.6539916992188,11.99991,0.521077105453992
98.5,-1.24990081787109,11.99991,0.195797560221685
98.5,-0.999949216842651,11.99991,0.196279308137869
98.5,-0.499993652105331,11.99991,0.211313528338404
98.5,0,11.99991,0.209567169913728
98.5,1.74972796440125,11.99991,0.199838884970653
98.5,3.99675464630127,11.99991,1.74591381201707
98.5,4.24610805511475,11.99991,1.5976121822881
98.5,7.97413206100464,11.99991,0.724864802920811
98.5,9.70328140258789,11.99991,1.11318209447167
98.5,9.94961357116699,11.99991,1.15272785713066
98.5,10.9330415725708,11.99991,1.75138828029883
98.5,11.1784019470215,11.99991,1.7371834115011
98.5,11.4235544204712,11.99991,1.79695879959485
98.5,11.9132204055786,11.99991,2.11427230625577
98.5,12.1577243804932,11.99991,2.05195141898059
98.5,12.4020042419434,11.99991,2.05575409511628
98.5,12.6460552215576,11.99991,1.97766661206254
98.5,12.8898735046387,11.99991,1.98670214472703
98.5,13.1334543228149,11.99991,1.90996434015207
98.75,-64.9731597900391,11.99991,0.53284136619948
98.75,-64.8671951293945,11.99991,0.529646783484492
98.75,-64.7608032226562,11.99991,0.525597766892452
98.75,-1.74972796440125,11.99991,0.201347536259485
98.75,-1.49982869625092,11.99991,0.197602463016507
98.75,-0.749978601932526,11.99991,0.222252822625375
98.75,-0.249999210238457,11.99991,0.228847981083088
98.75,0.999949216842651,11.99991,0.207903485788877
98.75,1.24990081787109,11.99991,0.205465740429092
98.75,1.49982869625092,11.99991,0.208176579189585
98.75,3.99675464630127,11.99991,1.6440792128965
98.75,7.97413206100464,11.99991,0.830570269151943
99,-65.3928756713867,11.99991,0.54037110170276
99,-65.2885665893555,11.99991,0.538360545912417
99,-65.1838531494141,11.99991,0.536118590257236
99,-65.0787124633789,11.99991,0.53323849957596
99,-1.99959397315979,11.99991,0.208281011748233
99,-0.999949216842651,11.99991,0.23379591695317
99,0.249999210238457,11.99991,0.243678185337556
99,0.499993652105331,11.99991,0.24293792263781
99,0.749978601932526,11.99991,0.237533210123363
99,3.74732565879822,11.99991,1.61529329492563
99,7.72647523880005,11.99991,0.937345864028335
99.25,-65.6002502441406,11.99991,0.543508392811974
99.25,-65.4967651367188,11.99991,0.541501382127268
99.25,-1.99959397315979,11.99991,0.21220146872389
99.25,-1.49982869625092,11.99991,0.236324969966515
99.25,-1.24990081787109,11.99991,0.235738960029861
99.25,0,11.99991,0.242844253268295
99.25,3.49782538414001,11.99991,1.4055444062394
99.25,7.47867298126221,11.99991,1.00851940879958
99.25,9.45676803588867,1061.312,0.150288099108261
99.25,9.70328140258789,1061.312,0.145407995400666
99.25,9.94961357116699,1061.312,0.14020160531324
99.25,10.1957597732544,1057.032,0.135146562319006
99.5,-65.6002502441406,11.99991,0.542576321561027
99.5,-2.24942183494568,11.99991,0.211811043646812
99.5,-1.74972796440125,11.99991,0.235208533156776
99.5,0,11.99991,0.244778680768635
99.5,3.49782538414001,11.99991,1.21101630252533
99.5,6.98265075683594,11.99991,1.2517758157802
99.5,7.2307300567627,11.99991,1.2614838066841
99.5,9.45676803588867,1061.312,0.140894241676278
99.5,10.4417161941528,23.99927,0.128330164181305
99.5,10.687479019165,23.99927,0.134531296226887
99.75,-65.6002502441406,11.99991,0.54184843169049
99.75,-2.49920701980591,11.99991,0.214434116999225
99.75,-1.99959397315979,11.99991,0.234340964429633
99.75,-0.249999210238457,11.99991,0.241919039004704
99.75,3.24825859069824,11.99991,1.0478999172871
99.75,6.73443984985352,11.99991,1.55881588415553
99.75,9.45676803588867,1061.312,0.129654755661513
99.75,10.9330415725708,23.99927,0.150287994560154
99.75,11.1784019470215,23.99927,0.182666792721619
99.75,11.4235544204712,23.99927,0.208177876000072
99.75,11.6684951782227,23.99927,0.23083911279659
100,-65.6002502441406,11.99991,0.541774635555953
100,-2.99863004684448,11.99991,0.21356683029467
100,-2.7489447593689,11.99991,0.212158451297414
