station,lon,lat
Point_480,-103.25,-20.0761108398438
Point_481,-103.25,-12.4020042419434
Point_482,-103.25,-4.49538087844849
Point_483,-103.25,3.49782538414001
Point_484,-103.25,11.4235544204712
Point_485,-95.2471694946289,-70.3231353759766
Point_486,-95.25,-67.4875183105469
Point_487,-95.25,-64.2225189208984
Point_488,-95.25,-60.5178337097168
Point_489,-95.25,-56.3349456787109
Point_490,-95.25,-51.6374168395996
Point_491,-95.25,-46.3974609375
Point_492,-95.25,-40.6013488769531
Point_493,-95.25,-34.255500793457
Point_494,-95.25,-27.392578125
Point_495,-95.25,-20.0761108398438
Point_496,-95.25,-12.4020042419434
Point_497,-95.25,-4.49538087844849
Point_498,-95.25,3.49782538414001
Point_499,-95.25,11.4235544204712
Point_500,-95.25,19.1340980529785
Point_501,-95.2506103515625,26.4697761535645
Point_502,-87.2304992675781,-72.7124786376953
Point_503,-87.2482833862305,-70.3204345703125
Point_504,-87.25,-67.4875183105469
Point_505,-87.25,-64.2225189208984
Point_506,-87.25,-60.5178337097168
Point_507,-87.25,-56.3349456787109
Point_508,-87.25,-51.6374168395996
Point_509,-87.25,-46.3974609375
Point_510,-87.25,-40.6013488769531
Point_511,-87.25,-34.255500793457
Point_512,-87.25,-27.392578125
Point_513,-87.25,-20.0761108398438
Point_514,-87.25,-12.4020042419434
Point_515,-87.25,-4.49538087844849
Point_516,-87.25,3.49782538414001
Point_517,-87.25,11.4235544204712
Point_518,-87.25,19.1340980529785
Point_519,-87.2509689331055,26.4731006622314
Point_520,-90.7390747070312,58.4375228881836
Point_521,-92.513542175293,60.895866394043
Point_522,-79.2448883056641,-72.7054061889648
Point_523,-79.2495498657227,-70.3191452026367
Point_524,-79.25,-67.4875106811523
Point_525,-79.25,-64.2225189208984
Point_526,-79.25,-60.5178337097168
Point_527,-79.25,-56.3349456787109
Point_528,-79.25,-51.6374168395996
Point_529,-79.25,-46.3974609375
Point_530,-79.25,-40.6013488769531
Point_531,-79.25,-34.255500793457
Point_532,-79.25,-27.392578125
Point_533,-79.25,-20.0761108398438
Point_534,-79.25,-12.4020042419434
Point_535,-79.25,3.49782538414001
Point_536,-79.25,11.4235544204712
Point_537,-79.25,19.1340980529785
Point_538,-79.2512359619141,26.477725982666
Point_539,-82.1814880371094,56.5298843383789
Point_540,-83.9515380859375,59.6124305725098
Point_541,-86.401985168457,62.3115615844727
Point_542,-98.6712341308594,67.7811813354492
Point_543,-103.548294067383,68.4791259765625
Point_544,-71.25,-67.4875106811523
Point_545,-71.25,-64.2225189208984
Point_546,-71.25,-60.5178337097168
Point_547,-71.25,-56.3349456787109
Point_548,-71.25,-27.392578125
Point_549,-71.25,-20.0761108398438
Point_550,-71.25,11.4235544204712
Point_551,-71.2513885498047,26.4832191467285
Point_552,-71.2783966064453,33.2699928283691
Point_553,-71.3964614868164,39.3722991943359
Point_554,-79.8774261474609,63.9254684448242
Point_555,-102.077659606934,70.7688369750977
Point_556,-63.25,-64.2225189208984
Point_557,-63.25,-60.5178337097168
Point_558,-63.25,-56.3349456787109
Point_559,-63.25,-51.6374168395996
Point_560,-63.25,-46.3974609375
Point_561,-63.25,11.4235544204712
Point_562,-63.25,19.1340980529785
Point_563,-63.2514038085938,26.4890575408936
Point_564,-63.2789268493652,33.3217353820801
Point_565,-63.4003562927246,39.5336227416992
Point_566,-64.3173980712891,50.1281814575195
Point_567,-66.9421157836914,58.684497833252
