lon,lat,MOM
78.75,8.96321582794189,0.1209153
79,-68.0572509765625,0.6556808
79,9.21007823944092,0.1208857
79,9.45676803588867,0.2214338
79.25,-68.0572509765625,0.6484364
79.25,9.70328140258789,0.2030643
79.25,9.94961357116699,0.2441802
79.5,-67.9636459350586,0.6328187
79.5,10.1957597732544,0.3033335
79.75,-67.9636459350586,0.6275127
79.75,6.48610210418701,0.09609401
79.75,6.73443984985352,0.09683044
79.75,6.98265075683594,0.09611136
79.75,7.2307300567627,0.09522295
79.75,7.47867298126221,0.09660845
79.75,7.72647523880005,0.102371
79.75,7.97413206100464,0.1084477
79.75,8.22163867950439,0.1130664
79.75,8.46899127960205,0.1174613
79.75,8.71618556976318,0.1227469
79.75,8.96321582794189,0.1609119
79.75,9.70328140258789,0.2333943
79.75,10.1957597732544,0.2229712
80,-67.8696594238281,0.6236002
80,5.98906373977661,0.09910165
80,6.23764181137085,0.09727103
80,9.21007823944092,0.3462571
80,9.45676803588867,0.3734894
80,9.94961357116699,0.2420077
80,10.4417161941528,0.1804787
80,10.687479019165,0.1906565
80,10.9330415725708,0.1982427
80,11.1784019470215,0.1913327
80,11.4235544204712,0.17313
80,11.6684951782227,0.1555446
80,11.9132204055786,0.1641783
80,12.1577243804932,0.2134258
80.25,-67.8696594238281,0.6129165
80.25,5.74037265777588,0.09263805
80.25,9.94961357116699,0.2175044
80.25,12.4020042419434,0.2130376
80.25,12.6460552215576,0.2290108
80.25,13.6198883056641,0.2272994
80.25,13.8627319335938,0.1877389
80.25,14.1053228378296,0.1902544
80.25,14.3476552963257,0.1901243
80.25,14.5897264480591,0.1853958
80.25,14.8315315246582,0.1918208
80.25,15.0730667114258,0.2137295
80.25,15.3143272399902,0.2521502
80.25,15.5553112030029,0.2505541
80.5,-67.8696594238281,0.6044648
80.5,5.74037265777588,0.09195597
80.5,9.70328140258789,0.1703393
80.5,12.8898735046387,0.2055309
80.5,13.1334543228149,0.2404078
80.5,13.3767938613892,0.2402241
80.5,15.7960119247437,0.3063591
80.75,-67.8696594238281,0.6007886
80.75,5.74037265777588,0.08913689
80.75,9.45676803588867,0.1279636
80.75,15.7960119247437,0.2809686
81,-67.7752838134766,0.5960005
81,5.98906373977661,0.09109052
81,8.96321582794189,0.1138029
81,9.21007823944092,0.1159576
81,15.5553112030029,0.2424525
81.25,-67.7752838134766,0.5930656
81.25,-67.680534362793,0.5964649
81.25,5.98906373977661,0.0872829
81.25,8.71618556976318,0.1144625
81.25,15.7960119247437,0.2286975
81.25,16.0364284515381,0.2622763
81.5,-67.5854034423828,0.6029041
81.5,-67.4898834228516,0.6109062
81.5,-66.8103713989258,0.6170787
81.5,-66.7117309570312,0.6183876
81.5,-66.6126937866211,0.6295
81.5,-66.5132598876953,0.659929
81.5,-66.4134292602539,0.6810465
81.5,-66.3131942749023,0.6928673
81.5,-66.2125549316406,0.6997474
81.5,6.23764181137085,0.09352753
81.5,8.22163867950439,0.1124457
81.5,8.46899127960205,0.1135589
81.5,16.276554107666,0.2696776
81.75,-67.3939743041992,0.6077502
81.75,-67.2976837158203,0.6080762
81.75,-66.9086227416992,0.6196589
81.75,-66.1115188598633,0.7197184
81.75,6.48610210418701,0.09762353
81.75,7.72647523880005,0.1089722
81.75,7.97413206100464,0.1095813
81.75,16.276554107666,0.2562869
82,-67.2010040283203,0.6111255
82,-66.9086227416992,0.6177807
82,-66.1115188598633,0.7347807
82,6.73443984985352,0.1027538
82,6.98265075683594,0.1035815
82,7.2307300567627,0.1040947
82,7.47867298126221,0.1049212
82,16.276554107666,0.2310507
82.25,-67.2010040283203,0.6146357
82.25,-67.1039352416992,0.61788
82.25,-67.006477355957,0.6203045
82.25,-66.9086227416992,0.6203783
82.25,-66.1115188598633,0.7357211
82.25,16.5163860321045,0.2264429
82.5,-66.4134292602539,0.750369
82.5,-66.3131942749023,0.7425968
82.5,-66.2125549316406,0.7319043
82.5,16.7559223175049,0.227487
82.5,16.9951572418213,0.2511172
82.75,-66.5132598876953,0.7475414
82.75,17.2340850830078,0.3110446
83,-66.6126937866211,0.7475632
83,17.2340850830078,0.3662567
83.25,-66.6126937866211,0.7393345
83.25,17.4727058410645,0.4622871
83.5,-66.6126937866211,0.7382339
83.5,-66.5132598876953,0.7384581
83.5,-66.4134292602539,0.7387328
83.5,17.7110137939453,0.4932449
83.75,-66.3131942749023,0.7400949
83.75,17.9490070343018,0.4166847
84,-66.3131942749023,0.7507608
84,18.1866779327393,0.3904071
84.25,-66.3131942749023,0.7449359
84.25,18.4240283966064,0.3560064
84.5,-66.3131942749023,0.7306835
84.5,18.6610488891602,0.3674173
84.75,-66.3131942749023,0.7208681
84.75,18.897741317749,0.435755
85,-66.4134292602539,0.7344256
85,19.1340980529785,0.463408
85.25,-66.4134292602539,0.7194597
85.25,19.3701171875,0.4472876
85.5,-66.4134292602539,0.7357421
85.5,-66.3131942749023,0.7284004
85.5,19.6057929992676,0.434397
85.75,-66.2125549316406,0.7166406
85.75,19.6057929992676,0.3336978
86,-66.2125549316406,0.7142456
86,19.6057929992676,0.324041
86.25,-66.2125549316406,0.7037495
86.25,19.8411273956299,0.3718623
86.5,-66.1115188598633,0.682008
86.5,20.0761108398438,0.4382483
86.75,-66.0100784301758,0.6629235
86.75,20.3107452392578,0.5340326
87,-66.0100784301758,0.6511865
87,20.5450210571289,0.6466052
87,20.7789249420166,0.8137892
87,21.0124206542969,0.9434097
87,21.2454643249512,0.9084978
87.25,-66.0100784301758,0.6374415
87.25,21.4780197143555,0.9441715
87.5,-66.0100784301758,0.622783
87.5,21.4780197143555,0.919986
87.75,-66.0100784301758,0.6189755
87.75,21.7100601196289,0.9998512
88,-66.0100784301758,0.6330791
88,21.7100620269775,0.8979232
88.25,-66.0100784301758,0.6467718
88.25,21.4780235290527,1.044853
88.5,-66.1115188598633,0.7157827
88.5,21.4780235290527,1.051136
88.75,-66.4134292602539,0.8146335
88.75,-66.3131942749023,0.8209729
88.75,-66.2125549316406,0.8071394
88.75,21.4780254364014,0.9660866
89,-66.6126937866211,0.7872443
89,-66.5132598876953,0.7864926
89,21.4780254364014,0.8619993
89.25,-66.6126937866211,0.766667
89.25,21.47802734375,0.7217966
89.5,-66.6126937866211,0.7550989
89.5,21.7100734710693,0.8885581
89.75,-66.6126937866211,0.7357185
89.75,21.710075378418,0.8177425
90,-66.6126937866211,0.7269795
90,21.7100772857666,0.8136027
90.25,-66.6126937866211,0.72157
90.25,21.7100791931152,0.8272755
90.5,-66.6126937866211,0.7246476
90.4999923706055,21.9415969848633,1.140198
90.75,-66.6126937866211,0.7356099
90.7499923706055,22.1725654602051,1.199748
90.7499847412109,22.4029541015625,1.377507
91,-66.5132598876953,0.7201534
90.9999847412109,22.402961730957,1.372308
91.25,-66.5132598876953,0.7464116
91.2499694824219,22.6327724456787,1.559315
91.5,-66.5132598876953,0.7545717
91.4999847412109,22.4029769897461,1.427412
91.4999694824219,22.6327819824219,1.579253
91.75,-66.5132598876953,0.7574352
91.75,21.4780387878418,0.8765233
91.75,21.7100925445557,0.9226277
91.7499923706055,21.9416160583496,1.090038
91.7499923706055,22.17258644104,1.294276
92,-66.5132598876953,0.7549117
92,21.0124244689941,0.9465945
92,21.2454738616943,1.094062
92.25,-66.5132598876953,0.7592302
92.25,10.687479019165,0.1198306
92.25,20.7789249420166,0.8941018
92.5,-66.5132598876953,0.7639555
92.5,10.4417161941528,0.1187277
92.5,10.9330415725708,0.1218384
92.5,11.6684951782227,0.1433101
92.5,11.9132204055786,0.1414861
92.5,12.1577243804932,0.1370526
92.5,12.4020042419434,0.1436842
92.5,12.6460552215576,0.1486392
92.5,12.8898735046387,0.150162
92.5,20.5450210571289,0.8231295
92.75,-66.5132598876953,0.7568336
92.75,10.687479019165,0.1233475
92.75,11.4235544204712,0.1314959
92.75,13.1334543228149,0.2191735
92.75,13.3767938613892,0.1722793
92.75,20.3107452392578,0.7275082
93,-66.5132598876953,0.7553309
93,11.6684951782227,0.1328132
93,11.9132204055786,0.1286041
93,12.1577243804932,0.1262288
93,12.4020042419434,0.1374279
93,12.6460552215576,0.1474316
93,13.6198883056641,0.1466049
93,20.0761108398438,0.85392
93.25,-66.5132598876953,0.7541481
93.25,7.97413206100464,0.099691
93.25,12.8898735046387,0.1514271
93.25,13.1334543228149,0.1529359
93.25,13.3767938613892,0.1553576
93.25,19.8411273956299,1.065601
93.5,-66.5132598876953,0.7490991
93.5,6.98265075683594,0.09893057
93.5,7.2307300567627,0.09952241
93.5,7.72647523880005,0.09921706
93.5,8.22163867950439,0.1041652
93.5,19.1340980529785,0.3714137
93.5,19.3701171875,0.5633218
93.5,19.6057929992676,0.9257453
93.75,-66.5132598876953,0.7496436
93.75,6.73443984985352,0.1006468
93.75,7.47867298126221,0.1030107
93.75,7.97413206100464,0.103682
93.75,18.897741317749,0.421691
94,-66.6126937866211,0.761806
94,6.98265075683594,0.1034166
94,7.2307300567627,0.1039786
94,16.0364284515381,0.2600565
94,16.276554107666,0.2450214
94,18.6610488891602,0.4596474
94.25,-66.6126937866211,0.7339902
94.25,15.7960119247437,0.3767164
94.25,16.5163860321045,0.2978777
94.25,16.7559223175049,0.3265449
94.25,16.9951572418213,0.3543482
94.25,17.9490070343018,0.3226057
94.25,18.1866779327393,0.2628305
94.25,18.4240283966064,0.3316627
94.5,-66.5132598876953,0.7367021
94.5,-66.4134292602539,0.7434368
94.5,15.7960119247437,0.5201737
94.5,17.2340850830078,0.3702278
94.5,17.4727058410645,0.3768978
94.5,17.7110137939453,0.3841974
94.75,-66.3131942749023,0.7482914
94.75,15.7960119247437,0.5645064
95,-66.2125549316406,0.7491614
95,5.24266910552979,0.08618838
95,5.49157285690308,0.08583435
95,15.5553112030029,0.4055104
95.25,-66.2125549316406,0.7444346
95.25,-66.1115188598633,0.753177
95.25,-66.0100784301758,0.7613056
95.25,-65.9082336425781,0.7670385
95.25,-65.8059768676758,0.7717294
95.25,-65.7033157348633,0.7794899
95.25,-65.6002502441406,0.79467
95.25,-65.4967651367188,0.8173925
95.25,-65.3928756713867,0.8400875
95.25,-65.2885665893555,0.843168
95.25,4.74456834793091,0.085833
95.25,4.99366569519043,0.08588644
95.25,5.74037265777588,0.09853487
95.25,15.5553112030029,0.37932
95.5,-65.1838531494141,0.8446504
95.5,-65.0787124633789,0.8155987
95.5,4.49538087844849,0.08536556
