station,period_1,period_2,period_3,period_4,period_5,period_6,period_7,period_8,period_9,period_10
Point_49,11.9999084479641,483.660516605166,484.107109879963,1245.33966745843,1194.27790432802,1248.30476190476,666.185514612452,1254.27751196172,169.617599482368,190.858390971969
Point_50,11.9999084479641,1014.09671179884,1099.13626834382,1398.10133333333,375.295633500358,1245.33966745843,169.617599482368,996.745247148289,855.282218597064,711.381275440977
Point_51,11.9999084479641,24.0003662165255,1194.27790432802,852.50081300813,1120.2735042735,1012.138996139,1057.03225806452,1054.90543259557,1191.56363636364,931.239786856128
Point_52,11.9999084479641,24.0003662165255,1194.27790432802,1057.03225806452,604.018433179724,1266.3961352657,1122.67237687366,851.116883116883,438.367892976589,342.001304631442
Point_53,11.9999084479641,24.0003662165255,1057.03225806452,1059.16767676768,23.9992676004761,12.4206486460875,1125.08154506438,1054.90543259557,998.64380952381,1122.67237687366
Point_54,11.9999084479641,24.0003662165255,1057.03225806452,1054.90543259557,12.4206486460875,884.128161888701,720.175824175824,674.759330759331,1125.08154506438,239.400913242009
Point_55,11.9999084479641,24.0003662165255,1057.03225806452,1054.90543259557,884.128161888701,1052.78714859438,720.175824175824,996.745247148289,1125.08154506438,1050.67735470942
Point_56,11.9999084479641,12.0001831082628,24.0003662165255,12.4206486460875,11.9673133987674,1054.90543259557,12.0164103504389,6.00002288827091,23.9992676004761,11.999633800238
Point_57,11.9999084479641,1099.13626834382,1101.44537815126,316.026522001206,905.506044905009,1018.03495145631,239.838975297347,490.44714686623,96.6073337018611,717.22024623803
Point_58,11.9999084479641,1178.17528089888,228.746945898778,1263.34457831325,834.853503184713,96.6073337018611,619.725768321513,196.362546816479,1172.90380313199,1294.53827160494
Point_59,11.9999084479641,228.647187091147,228.846791793976,222.816829579261,228.547515257193,233.744092732947,196.362546816479,235.106726457399,235.42343960485,242.838351088467
Point_60,11.9999084479641,228.746945898778,228.94672489083,233.639928698752,233.535857461025,222.72217502124,239.72930955647,196.289030325721,239.838975297347,237.772335600907
Point_61,11.9999084479641,849.737439222042,1260.30769230769,834.853503184713,636.271844660194,302.532025389498,330.781072555205,685.343790849673,1257.28537170264,378.001441961067
Point_62,11.9999084479641,686.240837696335,529.583838383838,1251.28400954654,386.928413284133,1014.09671179884,483.214746543779,1016.06201550388,275.07240293809,1144.73362445415
Point_63,11.9999084479641,637.044957472661,24.0003662165255,605.413394919169,1142.23965141612,216.379694593479,1398.10133333333,1248.30476190476,501.711004784689,1014.09671179884
Point_64,11.9999084479641,24.0003662165255,1122.67237687366,1014.09671179884,1120.2735042735,1057.03225806452,1012.138996139,478.801826484018,1390.68435013263,425.558441558442
Point_65,11.9999084479641,24.0003662165255,1122.67237687366,1014.09671179884,942.964028776978,1194.27790432802,1344.32820512821,851.116883116883,1120.2735042735,1269.46246973366
Point_66,11.9999084479641,24.0003662165255,1057.03225806452,12.4206486460875,1054.90543259557,23.9992676004761,1456.35555555556,1344.32820512821,673.892030848329,24.0653630772055
